series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
EQ,593.75,599.0,593.5,593.9,597.25,597.75,596.92,650.0,240.0,"2,34,551","14,00,07,452.75","5,405"
EQ,508.0,508.0,502.45,506.95,504.4,505.05,506.09,594.8,239.2,"4,77,953","24,18,88,723.95","8,503"
EQ,135.45,135.7,134.1,134.75,134.7,134.7,134.88,170.5,35.15,"26,82,404","36,18,04,067.30","16,532"
EQ,629.0,630.55,627.0,628.3,628.6,629.0,629.04,687.95,331.45,"5,18,349","32,60,62,874.90","9,733"
EQ,472.9,473.0,468.55,470.25,469.45,469.7,471.07,487.6,223.25,"9,86,166","46,45,57,046.55","13,074"
EQ,672.0,673.05,665.0,670.65,667.0,668.25,669.79,814.9,532.0,"49,943","3,34,51,419.90","1,820"
EQ,242.8,245.0,238.2,242.55,239.75,239.9,241.1,293.75,84.9,"8,95,989","21,60,21,178.20","11,892"
EQ,135.35,151.2,133.5,134.7,148.4,148.15,144.58,170.5,35.2,"8,28,57,438","11,97,94,74,023.50","2,66,372"
EQ,239.9,248.5,235.95,239.9,246.1,246.2,244.32,293.75,87.4,"92,23,255","2,25,33,85,945.45","79,904"
EQ,"1,940.00","1,967.00","1,894.95","1,926.65","1,925.45","1,921.50","1,928.21","2,417.75",485.0,"3,81,061","73,47,65,178.40","27,586"
EQ,98.6,104.5,97.2,97.9,103.55,103.1,101.89,115.85,42.55,"20,67,93,531","21,07,07,09,550.85","4,66,175"
EQ,469.7,493.9,469.7,469.7,490.8,490.65,487.23,493.9,223.25,"2,73,56,982","13,32,91,38,800.70","2,52,831"
EQ,208.7,211.3,203.75,208.75,204.9,204.2,207.39,213.65,103.3,"3,46,40,241","7,18,39,16,562.65","2,15,275"
EQ,"1,014.00","1,075.00","1,014.00","1,016.65","1,067.00","1,068.95","1,053.44","1,075.00",503.0,"35,41,313","3,73,05,58,316.50","1,08,299"
EQ,635.35,692.35,627.0,634.7,683.0,680.05,670.64,692.35,231.0,"1,22,49,454","8,21,49,18,278.45","1,82,253"
EQ,635.0,641.95,607.05,628.9,609.95,612.05,618.68,663.0,110.8,"16,22,292","1,00,36,82,323.65","37,748"
EQ,630.0,649.0,625.0,629.0,645.0,644.0,641.53,687.95,331.45,"1,06,23,880","6,81,55,12,451.05","1,65,035"
EQ,443.4,446.35,440.05,441.45,441.0,441.7,443.26,464.2,204.1,"1,15,41,624","5,11,59,28,585.50","1,26,365"
EQ,825.0,828.0,790.1,820.65,793.35,793.6,801.39,828.0,253.0,"14,29,414","1,14,55,22,437.30","33,625"
EQ,165.0,168.4,163.55,164.9,166.8,166.9,166.55,196.8,85.3,"2,61,48,240","4,35,49,79,979.45","1,17,557"
EQ,"2,851.20","2,883.65","2,851.20","2,869.65","2,867.95","2,872.25","2,867.19","3,024.90","2,220.30","55,88,064","16,02,20,37,765.60","3,03,596"
EQ,367.0,374.1,365.35,366.3,372.15,372.0,371.54,380.4,171.85,"1,09,39,593","4,06,44,97,680.25","1,54,587"
EQ,281.1,284.0,278.35,279.0,279.9,280.1,280.51,292.95,150.05,"1,75,59,555","4,92,57,02,826.10","1,61,843"
EQ,"1,825.00","1,919.00","1,810.00","1,831.95","1,860.00","1,859.35","1,867.55","2,018.95",815.55,"12,74,397","2,37,99,97,828.60","58,016"
EQ,509.2,530.9,501.7,505.05,526.2,526.85,521.56,594.8,239.2,"1,06,11,742","5,53,46,43,868.60","1,22,688"
EQ,599.9,617.95,591.75,597.75,602.0,603.9,608.67,650.0,240.0,"45,62,832","2,77,72,64,072.95","95,183"
EQ,434.0,434.75,424.0,435.45,428.4,428.1,429.0,506.0,158.4,"19,40,408","83,24,35,067.10","32,053"
EQ,311.5,316.2,307.0,313.5,307.95,308.6,310.31,323.15,191.7,"69,25,859","2,14,91,76,727.00","66,118"
EQ,668.25,676.6,661.6,668.25,671.5,673.35,670.14,814.9,532.0,"5,57,891","37,38,67,647.30","24,530"
EQ,311.0,327.45,311.0,316.9,325.0,325.65,322.78,327.45,190.65,"2,19,76,662","7,09,36,30,009.00","2,31,340"
EQ,"1,951.50","1,955.60","1,870.00","1,921.50","1,903.00","1,884.60","1,896.75","2,417.75",485.0,"3,13,532","59,46,91,654.40","21,807"
EQ,676.85,676.85,660.5,673.35,664.5,663.45,666.02,814.9,532.0,"3,89,973","25,97,30,529.80","16,330"
EQ,"2,872.55","2,937.55","2,872.55","2,872.25","2,921.00","2,921.30","2,918.56","3,024.90","2,220.30","51,40,802","15,00,37,55,079.70","2,41,909"
EQ,687.9,715.6,686.05,680.05,694.0,691.45,699.31,715.6,231.0,"1,01,00,567","7,06,34,22,693.90","1,43,271"
EQ,"1,077.90","1,085.95","1,058.60","1,068.95","1,076.00","1,077.70","1,072.92","1,085.95",503.0,"21,69,567","2,32,77,69,375.05","87,136"
EQ,606.95,619.9,601.5,603.9,609.5,609.45,612.41,650.0,240.0,"51,60,226","3,16,01,55,711.45","1,17,416"
EQ,247.9,249.15,239.55,246.2,241.2,241.15,243.68,293.75,87.4,"47,32,581","1,15,32,35,431.65","45,720"
EQ,310.0,311.1,303.6,308.6,310.45,309.75,307.11,323.15,191.7,"63,53,931","1,95,13,50,414.40","67,860"
EQ,614.95,618.0,596.1,612.05,599.75,600.0,605.51,663.0,110.8,"14,61,350","88,48,56,891.40","24,596"
EQ,327.75,327.75,320.2,325.65,326.0,325.75,324.1,327.75,190.65,"1,02,87,081","3,33,40,19,349.90","1,18,782"
EQ,430.2,431.8,417.55,428.1,422.0,421.8,423.55,506.0,158.4,"14,45,409","61,21,96,387.50","30,719"
EQ,284.0,284.0,276.9,280.1,278.6,278.0,279.56,292.95,150.05,"1,79,35,064","5,01,39,70,379.35","1,32,591"
EQ,"1,879.00","1,898.00","1,860.00","1,859.35","1,870.00","1,866.45","1,874.10","2,018.95",815.55,"5,78,311","1,08,38,12,642.75","40,455"
EQ,494.5,507.35,491.6,490.65,501.85,501.7,501.51,507.35,223.25,"2,83,46,931","14,21,63,09,754.60","2,48,929"
EQ,105.0,107.65,103.0,103.1,105.9,105.75,105.31,115.85,42.55,"16,24,00,701","17,10,28,78,592.60","3,81,195"
EQ,800.05,804.0,771.1,793.6,785.5,786.35,786.09,828.0,253.0,"10,39,161","81,68,79,237.35","20,152"
EQ,168.2,168.2,164.25,166.9,166.85,166.95,166.19,196.8,85.3,"2,00,53,145","3,33,25,56,777.30","99,679"
EQ,149.0,153.0,144.55,148.15,146.2,146.2,147.83,170.5,35.2,"3,33,12,243","4,92,46,98,782.90","1,27,575"
EQ,649.9,650.7,631.05,644.0,639.95,640.5,637.75,687.95,331.45,"73,36,905","4,67,91,39,407.55","1,14,887"
EQ,528.0,536.0,517.1,526.85,530.0,530.35,525.64,594.8,239.2,"68,75,969","3,61,42,99,881.15","80,211"
EQ,375.0,377.35,370.6,372.0,374.0,373.85,374.16,380.4,171.85,"1,40,01,806","5,23,89,45,858.55","1,67,380"
EQ,442.0,450.05,436.5,441.7,448.0,447.7,446.38,464.2,204.1,"1,60,85,201","7,18,01,17,812.50","1,25,463"
EQ,206.6,206.6,198.25,204.2,201.1,200.75,200.87,213.65,103.3,"3,60,29,532","7,23,73,26,153.10","1,63,237"
EQ,"1,919.95","1,974.80","1,885.00","1,884.60","1,900.00","1,895.10","1,930.88","2,417.75",485.0,"4,72,462","91,22,65,109.00","27,010"
EQ,106.0,108.7,104.3,105.75,105.05,105.3,106.45,115.85,42.55,"12,11,49,201","12,89,65,59,290.50","3,11,988"
EQ,533.0,544.7,529.7,530.35,537.0,535.45,538.05,594.8,239.2,"63,18,569","3,39,97,07,708.50","75,701"
EQ,242.05,247.15,238.05,241.15,240.25,239.9,242.25,293.75,87.4,"30,33,661","73,49,13,024.05","37,797"
EQ,503.4,503.8,492.1,501.7,497.0,497.3,496.66,507.35,223.25,"1,43,78,840","7,14,14,26,233.40","1,54,445"
EQ,279.95,284.55,279.1,278.0,283.2,283.45,281.71,292.95,150.05,"1,77,19,819","4,99,18,96,762.20","1,40,099"
EQ,305.0,312.9,302.6,309.75,308.15,308.35,306.83,323.15,191.7,"1,24,20,663","3,81,10,62,487.90","86,436"
EQ,450.4,452.1,445.5,447.7,448.5,449.15,448.7,464.2,204.1,"88,72,759","3,98,12,33,559.30","87,227"
EQ,422.7,433.1,418.35,421.8,419.0,419.55,424.07,506.0,158.4,"13,28,213","56,32,54,294.35","24,870"
EQ,375.05,375.6,369.5,373.85,372.2,372.3,371.64,380.4,171.85,"1,53,70,357","5,71,21,63,916.60","1,62,720"
EQ,146.2,152.0,144.85,146.2,147.35,147.4,148.4,170.5,35.2,"3,14,45,912","4,66,66,90,058.80","1,18,060"
EQ,319.45,320.7,309.0,325.75,319.0,319.9,315.17,327.75,190.65,"3,57,05,284","11,25,32,69,789.90","2,86,351"
EQ,790.0,795.9,747.05,786.35,772.1,768.05,757.39,828.0,253.0,"24,19,529","1,83,25,24,490.95","33,487"
EQ,645.0,654.1,640.6,640.5,647.0,647.45,648.05,687.95,331.45,"74,91,275","4,85,47,03,684.65","1,40,423"
EQ,"1,065.00","1,076.75","1,050.10","1,077.70","1,072.40","1,074.05","1,062.76","1,085.95",503.0,"12,99,470","1,38,10,24,774.50","54,847"
EQ,"2,917.10","2,984.45","2,910.00","2,921.30","2,969.00","2,972.10","2,956.98","3,024.90","2,220.30","73,04,130","21,59,81,31,626.70","2,54,418"
EQ,167.5,169.35,166.7,166.95,168.1,167.95,168.08,196.8,85.3,"1,74,23,296","2,92,85,42,632.40","81,286"
EQ,700.0,720.5,686.15,691.45,711.5,711.35,706.02,720.5,231.0,"97,57,504","6,88,89,65,761.85","1,62,885"
EQ,"1,870.00","1,909.00","1,845.55","1,866.45","1,886.00","1,888.80","1,887.14","2,018.95",815.55,"38,93,291","7,34,71,93,826.55","1,14,912"
EQ,202.0,203.25,199.55,200.75,200.45,200.45,201.08,213.65,103.3,"3,06,67,689","6,16,67,15,729.15","1,08,199"
EQ,604.65,629.0,601.0,600.0,604.0,605.15,609.83,663.0,110.8,"11,57,212","70,56,98,462.15","26,421"
EQ,666.0,667.9,657.3,663.45,663.5,664.55,663.23,814.9,532.0,"3,62,258","24,02,60,185.35","16,698"
EQ,611.9,626.0,610.9,609.45,617.3,617.45,620.53,650.0,240.0,"42,78,722","2,65,50,81,447.45","80,708"
EQ,647.0,663.35,641.6,647.45,654.7,654.1,654.56,687.95,331.45,"81,04,262","5,30,47,32,059.05","1,10,248"
EQ,373.0,378.15,368.7,372.3,374.5,374.95,374.33,380.4,171.85,"1,33,17,821","4,98,53,16,955.35","1,46,759"
EQ,201.0,206.85,199.15,200.45,204.2,204.45,204.18,213.65,103.3,"2,39,63,389","4,89,29,07,844.30","1,11,551"
EQ,538.0,550.35,528.1,535.45,542.15,543.45,543.12,594.8,239.2,"67,99,793","3,69,31,34,011.35","94,224"
EQ,147.4,149.75,143.55,147.4,145.2,144.85,146.32,170.5,35.2,"1,50,46,518","2,20,16,36,843.80","73,079"
EQ,"1,069.10","1,083.10","1,059.50","1,074.05","1,067.50","1,069.20","1,073.37","1,085.95",503.0,"7,95,828","85,42,21,105.00","31,043"
EQ,449.15,452.95,446.1,449.15,446.95,447.2,449.09,464.2,204.1,"97,59,025","4,38,26,35,450.00","1,07,549"
EQ,318.0,322.95,317.4,319.9,319.05,318.8,320.12,327.75,190.65,"1,50,58,182","4,82,03,61,062.55","1,97,240"
EQ,664.5,681.75,654.6,664.55,656.0,656.4,668.11,814.9,532.0,"13,42,301","89,68,07,508.20","33,483"
EQ,"1,898.80","1,949.00","1,889.05","1,888.80","1,923.00","1,926.65","1,927.96","2,018.95",815.55,"29,28,305","5,64,56,62,201.45","82,456"
EQ,307.6,308.1,303.7,308.35,305.75,305.4,306.06,323.15,191.7,"51,98,861","1,59,11,76,972.75","41,270"
EQ,105.65,106.3,101.3,105.3,102.8,102.45,103.9,115.85,42.55,"9,13,61,716","9,49,22,95,069.30","2,83,325"
EQ,240.0,242.8,232.0,239.9,233.8,233.1,236.63,293.75,87.4,"41,23,983","97,58,39,156.00","46,611"
EQ,620.0,627.45,596.55,617.45,597.3,600.65,611.36,650.0,240.0,"54,08,025","3,30,62,55,294.55","83,497"
EQ,770.0,796.8,749.0,768.05,759.0,757.4,776.14,828.0,253.0,"9,26,754","71,92,95,279.00","21,744"
EQ,495.95,505.4,489.15,497.3,500.15,501.0,498.51,507.35,223.25,"1,21,90,536","6,07,71,62,733.05","1,26,425"
EQ,284.0,285.95,281.85,283.45,282.65,283.25,283.97,292.95,150.05,"1,10,41,667","3,13,54,54,781.80","91,519"
EQ,"1,909.00","1,943.00","1,851.00","1,895.10","1,875.00","1,863.10","1,896.27","2,417.75",485.0,"2,70,385","51,27,22,191.25","21,005"
EQ,167.9,170.45,167.3,167.95,168.6,168.8,169.21,196.8,85.3,"1,75,79,600","2,97,45,64,571.45","1,00,900"
EQ,"2,967.25","2,977.00","2,952.20","2,972.10","2,959.00","2,960.50","2,962.79","3,024.90","2,220.30","35,47,388","10,51,01,70,789.40","1,42,807"
EQ,713.5,720.2,703.0,711.35,706.6,707.0,712.23,720.5,231.0,"49,44,197","3,52,13,95,020.55","97,605"
EQ,160.0,166.4,157.0,605.15,165.5,165.0,163.91,663.0,110.8,"92,91,096","1,52,29,02,765.70","68,405"
EQ,421.0,423.4,408.0,419.55,409.0,409.5,414.88,506.0,158.4,"13,42,111","55,68,15,457.55","25,907"
EQ,305.4,306.1,298.8,305.4,301.1,301.75,301.84,323.15,191.7,"92,65,411","2,79,66,89,396.35","36,514"
EQ,709.95,717.0,702.05,707.0,706.6,704.85,709.06,720.5,231.0,"35,15,710","2,49,28,39,575.30","72,635"
EQ,"1,943.70","1,958.80","1,891.00","1,926.65","1,927.50","1,929.50","1,929.57","2,018.95",815.55,"43,54,846","8,40,29,94,983.85","78,211"
EQ,233.75,237.35,226.1,233.1,228.3,227.05,229.54,293.75,89.1,"40,52,393","93,01,84,746.55","46,789"
